"","country","region","year","new.pul.TB","prev.treated.pul.TB","prev.unk.pul.TB","new.MDR","prev.MDR","MDR.tested","XDR","pop.number","TB.100k","TB.num","TB_mort.100k","TB_mort.num","Country.Code","GDP"
"3","Albania","EUR",2017,195,15,0,0,0,0,0,2884169,20,580,0.34,10,"ALB",4532.889198
"5","Algeria","AFR",2017,6278,419,0,11,28,39,4,41389189,70,29000,7.7,3200,"DZA",4048.285258
"6","Algeria","AFR",2018,6137,362,21,2,5,7,4,42228408,69,29000,7.7,3300,"DZA",4278.85006
"7","American Samoa","WPR",2017,3,0,0,1,0,1,0,55620,10,6,0.85,0,"ASM",11398.77742
"9","Andorra","EUR",2017,1,0,0,0,0,0,0,77001,1.5,1,0.12,0,"AND",39134.39337
"12","Angola","AFR",2018,31098,6623,0,0,0,0,0,30809787,355,109000,72,22000,"AGO",3432.385736
"14","Antigua and Barbuda","AMR",2018,2,0,0,0,0,0,0,96286,6,6,1.2,1,"ATG",16864.38336
"15","Argentina","AMR",2017,5287,902,376,30,61,90,6,43937140,27,12000,1.8,780,"ARG",14591.86338
"16","Argentina","AMR",2018,5694,1248,312,68,66,120,9,44361150,27,12000,1.8,790,"ARG",11652.56629
"17","Armenia","EUR",2017,326,128,0,40,41,81,13,2944791,36,1100,1.8,53,"ARM",3914.501268
"18","Armenia","EUR",2018,254,104,0,43,33,76,14,2951745,31,920,1.3,38,"ARM",4212.070943
"21","Australia","WPR",2017,745,34,1,12,6,16,0,24584620,6.7,1600,0.22,55,"AUS",54093.60219
"22","Australia","WPR",2018,763,43,4,21,4,22,1,24898152,6.6,1700,0.22,55,"AUS",57305.29902
"23","Austria","EUR",2017,293,16,76,11,2,13,2,8819901,7.3,650,0.43,38,"AUT",47380.82964
"24","Austria","EUR",2018,232,23,72,10,3,13,0,8891388,7.1,630,0.42,37,"AUT",51512.90548
"29","Bangladesh","SEA",2017,140752,5107,3,15,105,76,0,159685424,221,353000,34,55000,"BGD",1563.994082
"30","Bangladesh","SEA",2018,149751,6035,3,4,10,14,6,161376708,221,357000,29,47000,"BGD",1698.262802
"31","Barbados","AMR",2017,0,0,0,0,0,0,0,286232,0,0,0.9,3,"BRB",16327.60723
"33","Belarus","EUR",2017,1690,700,0,629,459,1088,343,9450231,37,3500,6,560,"BLR",5761.74712
"34","Belarus","EUR",2018,1529,612,0,559,425,984,185,9452617,31,2900,5.9,560,"BLR",6289.938553
"35","Belgium","EUR",2017,465,42,98,1,2,3,0,11419748,9.2,1100,0.37,42,"BEL",43507.2382
"36","Belgium","EUR",2018,476,46,74,5,1,6,3,11482178,9,1000,0.34,39,"BEL",46556.09957
"38","Belize","AMR",2018,55,7,0,0,0,0,0,383071,30,110,3.8,15,"BLZ",5025.1781
"39","Benin","AFR",2017,2783,259,0,0,4,4,0,11175198,58,6400,14,1500,"BEN",827.4298101
"43","Bhutan","SEA",2017,402,47,0,47,3,8,0,745563,145,1100,16,120,"BTN",3390.714075
"44","Bhutan","SEA",2018,396,48,1,46,1,47,0,754388,149,1100,16,120,"BTN",3360.266867
"53","Brunei Darussalam","WPR",2017,170,9,0,0,0,0,0,424473,64,270,3.8,16,"BRN",28572.10942
"54","Brunei Darussalam","WPR",2018,197,4,0,0,0,0,0,428963,68,290,3.8,16,"BRN",31627.74208
"55","Bulgaria","EUR",2017,619,102,0,13,11,23,1,7102444,25,1800,1.2,86,"BGR",8228.01157
"56","Bulgaria","EUR",2018,549,92,0,10,14,24,0,7051608,22,1600,1.1,74,"BGR",9272.629304
"57","Burkina Faso","AFR",2017,3613,429,2,14,34,31,1,19193234,49,9500,10,2000,"BFA",642.0404265
"58","Burkina Faso","AFR",2018,3936,341,11,15,25,40,0,19751466,48,9500,9.3,1800,"BFA",731.171717
"59","Burundi","AFR",2017,4501,314,0,0,50,50,0,10827019,114,12000,22,2400,"BDI",293.009062
"61","Cabo Verde","AFR",2017,163,23,0,0,0,0,0,537498,58,310,5.4,29,"CPV",3295.341106
"62","Cabo Verde","AFR",2018,138,21,0,0,0,0,0,543767,46,250,5.4,29,"CPV",3654.007345
"65","Cameroon","AFR",2017,13448,378,0,36,24,60,0,24566073,194,48000,55,13000,"CMR",1421.587492
"66","Cameroon","AFR",2018,13460,1250,0,70,47,117,1,25216267,186,47000,53,13000,"CMR",1526.875713
"71","Central African Republic","AFR",2017,4882,419,0,0,0,0,0,4596023,540,25000,183,8400,"CAF",471.6032278
"72","Central African Republic","AFR",2018,5302,305,0,0,16,0,0,4666368,540,25000,169,7900,"CAF",509.9709748
"73","Chad","AFR",2017,4732,626,0,0,0,0,0,15016753,143,21000,35,5300,"TCD",664.3033157
"74","Chad","AFR",2018,5015,670,0,0,0,0,0,15477729,142,22000,32,4900,"TCD",730.2446076
"75","Chile","AMR",2017,1910,118,0,18,1,19,0,18470439,17,3200,2.6,480,"CHL",15037.35011
"76","Chile","AMR",2018,2012,216,0,26,6,32,0,18729160,18,3400,2.5,470,"CHL",15923.35906
"79","Colombia","AMR",2017,8329,892,0,79,51,75,1,48909839,33,16000,3.5,1700,"COL",6375.932063
"83","Costa Rica","AMR",2017,294,24,0,4,0,4,0,4949954,9.6,470,1,51,"CRI",11752.5436
"84","Costa Rica","AMR",2018,325,20,0,3,0,3,0,4999441,10,500,1,51,"CRI",12026.54753
"86","Croatia","EUR",2018,241,19,46,1,1,1,0,4156405,8.4,350,0.84,35,"HRV",14869.09068
"87","Cuba","AMR",2017,469,73,0,1,4,4,0,11339254,7.2,820,0.53,60,"CUB",8541.210673
"89","Cyprus","EUR",2017,38,0,1,1,0,1,0,1179678,5.1,60,0.26,3,"CYP",25760.7627
"91","Denmark","EUR",2017,159,16,0,1,0,1,0,5732274,5.1,290,0.34,19,"DNK",57218.85485
"92","Denmark","EUR",2018,166,15,0,4,0,4,0,5752126,5.4,310,0.33,19,"DNK",60726.46654
"94","Djibouti","EMR",2018,951,96,0,0,3,3,3,958923,260,2500,30,280,"DJI",2050.204732
"95","Dominica","AMR",2017,1,0,0,0,0,0,0,71458,1.6,1,4.1,3,"DMA",6951.303542
"96","Dominica","AMR",2018,1,1,0,0,0,0,0,71625,6.4,5,4.1,3,"DMA",7031.709754
"97","Dominican Republic","AMR",2017,1888,316,0,27,20,43,0,10513104,46,4800,5.4,570,"DOM",7222.554044
"98","Dominican Republic","AMR",2018,1908,301,0,33,14,43,0,10627141,45,4800,4.8,510,"DOM",7650.072753
"107","Estonia","EUR",2017,124,21,0,26,10,34,9,1319390,15,200,1.3,17,"EST",20200.37559
"108","Estonia","EUR",2018,105,20,0,22,8,30,8,1322920,13,170,0.94,12,"EST",22927.74442
"109","Eswatini","AFR",2017,2041,152,2,32,25,57,10,1124805,374,4200,66,750,"SWZ",3941.900457
"110","Eswatini","AFR",2018,1754,290,2,20,21,41,2,1136281,329,3700,57,640,"SWZ",4139.961949
"113","Fiji","WPR",2017,138,3,0,0,1,1,0,877459,51,450,4.4,39,"FJI",6006.360622
"114","Fiji","WPR",2018,135,9,0,0,0,0,0,883483,54,480,4.8,43,"FJI",6202.162267
"115","Finland","EUR",2017,139,4,4,4,1,5,1,5511371,4.9,270,0.44,24,"FIN",45809.97338
"116","Finland","EUR",2018,139,2,3,4,0,4,1,5522576,4.7,260,0.35,19,"FIN",49648.14926
"123","Georgia","EUR",2017,1466,595,0,129,133,246,44,4008716,86,3400,4.5,180,"GEO",4045.41705
"124","Georgia","EUR",2018,1349,513,0,93,74,159,34,4002942,80,3200,4.4,180,"GEO",4344.630952
"125","Germany","EUR",2017,77,156,3115,6,17,17,0,82658409,7.4,6200,0.4,330,"DEU",44681.08258
"126","Germany","EUR",2018,2356,207,886,55,23,58,8,83124418,7.3,6100,0.39,320,"DEU",48195.5799
"127","Ghana","AFR",2017,7924,862,2,12,37,0,0,29121465,152,44000,54,16000,"GHA",2025.885857
"128","Ghana","AFR",2018,7929,850,19,18,50,1,1,29767102,148,44000,52,16000,"GHA",2202.312165
"129","Greece","EUR",2017,280,38,18,6,1,7,2,10569450,4.7,500,0.5,53,"GRC",18883.46007
"130","Greece","EUR",2018,233,19,25,4,0,4,0,10522246,4.5,470,0.48,51,"GRC",20324.25356
"133","Grenada","AMR",2017,2,1,0,0,0,0,0,110874,3.1,3,1.8,2,"GRD",10163.62985
"134","Grenada","AMR",2018,1,0,0,0,0,0,0,111454,2.1,2,1.5,2,"GRD",10833.65833
"135","Guam","WPR",2017,57,1,0,2,1,1,0,164281,59,97,4.9,8,"GUM",35664.50168
"137","Guatemala","AMR",2017,2610,150,0,6,13,8,1,16914970,25,4300,2.3,390,"GTM",4470.610798
"138","Guatemala","AMR",2018,2511,209,0,9,13,2,2,17247849,26,4500,2.1,370,"GTM",4549.010081
"139","Guinea","AFR",2017,7375,546,2,0,0,0,0,12067519,176,21000,37,4400,"GIN",821.6514609
"140","Guinea","AFR",2018,7974,542,0,126,126,250,2,12414293,176,22000,36,4500,"GIN",885.2512282
"141","Guinea-Bissau","AFR",2017,1750,35,0,0,0,0,0,1828145,361,6600,135,2500,"GNB",736.7255662
"143","Guyana","AMR",2017,300,76,0,0,0,0,0,775222,84,650,20,150,"GUY",4586.054572
"144","Guyana","AMR",2018,337,86,0,0,0,0,0,779006,83,640,18,140,"GUY",4634.681335
"147","Honduras","AMR",2017,2003,202,0,2,6,4,0,9429013,37,3500,4.8,450,"HND",2432.935364
"148","Honduras","AMR",2018,2114,232,0,1,3,4,0,9587522,37,3500,4.9,470,"HND",2482.730206
"149","Hungary","EUR",2017,318,36,0,7,4,10,4,9729823,7.7,750,0.65,63,"HUN",14278.8745
"150","Hungary","EUR",2018,327,47,0,8,4,11,3,9707499,6.4,620,0.45,44,"HUN",15938.8368
"153","India","SEA",2017,868769,176450,0,2152,5357,6787,466,1338676785,204,2740000,34,454000,"IND",1981.499045
"154","India","SEA",2018,825939,208197,0,3232,5182,6832,493,1352642280,199,2690000,33,449000,"IND",2015.590485
"155","Indonesia","SEA",2017,200946,15970,2467,140,1356,1321,50,264650963,319,844000,38,100000,"IDN",3836.913814
"156","Indonesia","SEA",2018,213578,17681,19930,376,1543,1812,80,267670543,316,845000,37,98000,"IDN",3893.596078
"157","Iraq","EMR",2017,2426,301,0,5,95,75,5,37552781,42,16000,2.4,900,"IRQ",5143.661232
"158","Iraq","EMR",2018,2043,244,0,11,37,45,0,38433600,42,16000,2.2,860,"IRQ",5878.038566
"159","Ireland","EUR",2017,103,7,62,2,0,2,0,4753279,7.3,350,0.45,21,"IRL",69649.88274
"160","Ireland","EUR",2018,108,10,69,3,0,3,0,4818690,7,340,0.42,20,"IRL",78806.432
"161","Israel","EUR",2017,129,2,0,7,1,8,1,8243848,3.3,270,0.21,17,"ISR",40543.58417
"162","Israel","EUR",2018,154,6,0,13,0,13,7,8381516,4,340,0.21,18,"ISR",41613.99808
"163","Italy","EUR",2017,1644,71,516,45,11,45,5,60673701,7.3,4400,0.64,390,"ITA",32155.20587
"164","Italy","EUR",2018,1682,85,453,32,10,37,4,60627291,7,4300,0.61,370,"ITA",34318.35112
"165","Jamaica","AMR",2017,69,1,0,0,0,0,0,2920848,5.2,150,0.48,14,"JAM",5060.544924
"166","Jamaica","AMR",2018,45,1,1,0,0,0,0,2934847,2.9,86,0.41,12,"JAM",5355.582639
"170","Jordan","EMR",2018,128,10,0,1,0,1,0,9965318,5,500,0.13,13,"JOR",4247.768726
"174","Kenya","AFR",2018,44072,4131,18,29,42,71,0,51392565,292,150000,64,33000,"KEN",1710.510097
"175","Kiribati","WPR",2017,182,9,0,0,0,0,0,114158,422,480,38,43,"KIR",1625.57597
"176","Kiribati","WPR",2018,158,4,0,0,0,0,0,115847,349,400,37,43,"KIR",1625.2861
"177","Kuwait","EMR",2017,373,0,0,4,0,4,0,4056099,28,1100,0.38,15,"KWT",29474.54143
"178","Kuwait","EMR",2018,333,0,0,2,0,2,0,4137312,23,940,0.37,15,"KWT",34243.95291
"179","Latvia","EUR",2017,390,62,0,28,17,45,17,1951097,32,620,3.7,73,"LVA",15684.55852
"181","Lebanon","EMR",2017,318,5,3,5,1,5,2,6819373,10,710,0.86,59,"LBN",7838.343385
"182","Lebanon","EMR",2018,323,12,0,3,1,4,1,6859408,11,750,0.91,63,"LBN",8269.787676
"184","Lesotho","AFR",2018,3595,728,0,51,5,5,0,2108328,611,13000,200,4200,"LSO",1324.282768
"189","Lithuania","EUR",2017,855,268,0,110,138,248,87,2845414,51,1500,5.9,170,"LTU",16809.64826
"190","Lithuania","EUR",2018,751,218,0,88,82,170,58,2801264,44,1200,5.6,160,"LTU",19089.70751
