country,region,year,new.pul.TB,prev.treated.pul.TB,prev.unk.pul.TB,new.MDR,prev.MDR,MDR.tested,XDR
Afghanistan,EMR,2017,19354,2233,125,,,,5
Afghanistan,EMR,2018,20485,1712,,,10,10,8
Albania,EUR,2017,195,15,0,0,0,0,0
Albania,EUR,2018,198,10,0,1,1,,
Algeria,AFR,2017,6278,419,0,11,28,39,4
Algeria,AFR,2018,6137,362,21,2,5,7,4
American Samoa,WPR,2017,3,0,0,1,0,1,0
American Samoa,WPR,2018,0,1,0,0,0,0,0
Andorra,EUR,2017,1,0,0,0,0,0,0
Andorra,EUR,2018,2,0,0,0,,0,0
Angola,AFR,2017,24490,3476,,0,0,0,0
Angola,AFR,2018,31098,6623,0,0,0,0,0
Anguilla,AMR,2017,,,,,,,
Anguilla,AMR,2018,,,,,,,
Antigua and Barbuda,AMR,2017,1,0,0,0,,0,0
Antigua and Barbuda,AMR,2018,2,0,0,0,0,0,0
Argentina,AMR,2017,5287,902,376,30,61,90,6
Argentina,AMR,2018,5694,1248,312,68,66,120,9
Armenia,EUR,2017,326,128,0,40,41,81,13
Armenia,EUR,2018,254,104,0,43,33,76,14
Aruba,AMR,2017,2,0,0,,,,
Aruba,AMR,2018,5,0,0,,,,
Australia,WPR,2017,745,34,1,12,6,16,0
Australia,WPR,2018,763,43,4,21,4,22,1
Austria,EUR,2017,293,16,76,11,2,13,2
Austria,EUR,2018,232,23,72,10,3,13,0
Azerbaijan,EUR,2017,2023,2900,,170,495,,
Azerbaijan,EUR,2018,1988,2836,,160,478,,
Bahamas,AMR,2017,16,0,0,0,0,0,0
Bahamas,AMR,2018,18,0,0,0,0,0,0
Bahrain,EMR,2017,80,0,0,1,,0,0
Bahrain,EMR,2018,79,1,0,3,0,,
Bangladesh,SEA,2017,140752,5107,3,15,105,76,0
Bangladesh,SEA,2018,149751,6035,3,4,10,14,6
Barbados,AMR,2017,0,0,0,0,0,0,0
Barbados,AMR,2018,1,0,0,0,0,0,0
Belarus,EUR,2017,1690,700,0,629,459,1088,343
Belarus,EUR,2018,1529,612,0,559,425,984,185
Belgium,EUR,2017,465,42,98,1,2,3,0
Belgium,EUR,2018,476,46,74,5,1,6,3
Belize,AMR,2017,68,8,0,,,1,0
Belize,AMR,2018,55,7,0,0,0,0,0
Benin,AFR,2017,2783,259,0,0,4,4,0
Benin,AFR,2018,3148,236,0,,,0,0
Bermuda,AMR,2017,1,0,0,0,0,0,0
Bermuda,AMR,2018,2,0,0,0,0,0,0
Bhutan,SEA,2017,402,47,0,47,3,8,0
Bhutan,SEA,2018,396,48,1,46,1,47,0
Bolivia (Plurinational State of),AMR,2017,4978,516,0,37,14,38,0
